Separation,Loose Tol.,Tight Tol.,Diff.
2.00,23.182900,22.899800,0.283100
2.10,25.833300,25.786400,0.046900
2.20,27.249900,27.210200,0.039700
2.30,28.306200,28.256100,0.050100
2.40,29.337600,29.274400,0.063200
2.50,30.386700,30.310900,0.075800
2.60,31.577800,31.503400,0.074400
2.70,34.016800,34.008500,0.008300
2.80,35.906100,35.863600,0.042500
2.90,36.661100,36.620700,0.040400
3.00,37.099600,37.065100,0.034500
3.10,37.370500,37.357900,0.012600
3.20,37.577900,37.566100,0.011800
3.30,37.765000,37.713100,0.051900
3.40,37.876200,37.823500,0.052700
3.50,37.919700,37.908400,0.011300
3.60,37.978600,37.967600,0.011000
3.70,38.022200,38.010900,0.011300
3.80,38.058800,38.048200,0.010600
3.90,38.084800,38.073700,0.011100
4.00,38.103300,38.092500,0.010800
    
